seg.name	angle.start	angle.end	seg.sum.start	seg.sum.end	seg.start	seg.end
1	276	298.0832907	0	157403528	1	157403528
2	300.0832907	317.2354087	157403528	293914475	1	136510947
3	319.2354087	334.0764529	293914475	413952734	1	120038259
4	336.0764529	351.0152432	413952734	534687700	1	120734966
5	353.0152432	367.7135109	534687700	653708288	1	119020588
6	369.7135109	384.2184191	653708288	771350663	1	117642375
7	386.2184191	399.431366	771350663	879784299	1	108433636
8	401.431366	415.2390655	879784299	992457166	1	112672867
9	417.2390655	428.085897	992457166	1084025792	1	91568626
10	430.085897	442.2682092	1084025792	1185113352	1	101087560
11	444.2682092	457.1712907	1185113352	1291338354	1	106225002
12	459.1712907	469.4160511	1291338354	1378615586	1	87277232
13	471.4160511	481.0655232	1378615586	1461649769	1	83034183
14	483.0655232	494.3478525	1461649769	1556322502	1	94672733
15	496.3478525	505.8388411	1556322502	1638227059	1	81904557
16	507.8388411	516.9742623	1638227059	1717597231	1	79370172
17	518.9742623	526.9547018	1717597231	1788735016	1	71137785
18	528.9547018	536.3933295	1788735016	1856010918	1	67275902
19	538.3933295	545.164219	1856010918	1918527368	1	62516450
20	547.164219	555.2353565	1918527368	1990311623	1	71784255
21	557.2353565	564.9756308	1990311623	2059737578	1	69425955
22	566.9756308	573.4331825	2059737578	2120020644	1	60283066
21	575.4331825	580.2890276	2120020644	2168887193	1	48866549
22	582.2890276	589.030962	2168887193	2231197259	1	62310066
25	591.030962	595.0438953	2231197259	2274055768	1	42858509
26	597.0438953	602.2582006	2274055768	2325477321	1	51421553
27	604.2582006	608.5307575	2325477321	2370186355	1	44709034
28	610.5307575	614.7981611	2370186355	2414858657	1	44672302
29	616.7981611	622	2414858657	2466191353	1	51332696
